bg,eq_BG,CGM_glucose,running_temp,rate,IOB,unsafe_action_reason
160,160,160.0,0,2.1,0,Null
160,153,160.0,2.1,2.1,0.15,Null
160,149,160.0,2.1,2.1,0.249,Null
160,145,160.0,2.1,2.1,0.347,Null
160,139,160.0,2.1,2,0.493,Null
160,136,159.99631352410765,2,1.85,0.588,Null
159.98,134,159.9826848897584,1.85,1.75,0.63,Null
159.95,131,159.95119073732573,1.75,1.65,0.72,Null
159.89,127,159.89327221108647,1.65,1.45,0.807,Null
159.8,124,159.80067987049839,1.45,1.3,0.891,Null
159.67,125,159.66601763396173,1.3,1.3,0.873,Null
159.48,124,159.48313132445878,1.3,1.3,0.903,Null
159.25,122,159.24767730805576,1.3,1.25,0.93,Null
158.96,121,158.95733470980326,1.25,1.2,0.955,Null
158.61,120,158.61143814637725,1.2,1.15,0.977,Null
158.21,119,158.21066030785647,1.15,1.1,0.998,Null
157.76,118,157.7568909785737,1.1,1.05,1.017,Null
157.25,117,157.25310517944607,1.05,1,1.034,Null
156.7,115,156.70322493766758,1,0.9,1.05,Null
156.11,116,156.11197869661444,0.9,0.9,1.014,Null
155.48,115,155.48476187710727,0.9,0.9,1.026,Null
154.83,117,154.82750159110614,0.9,1,0.988,Null
154.15,116,154.14667775259502,1,0.95,0.999,Null
153.45,115,153.44900521090167,0.95,0.9,1.009,Null
152.74,118,152.74118507042277,0.9,0.9,0.918,Null
152.03,117,152.02941945168226,0.9,0.9,0.927,Null
151.32,118,151.31951512405027,0.9,1.05,0.886,Null
155.31,122,150.61695977682317,1.05,1.05,0.895,Null
149.93,119,149.92683104991985,1.05,0.7,0.853,Null
149.25,113,149.253737284392,0.7,0.85,0.812,Null
148.6,116,148.60135073030142,0.85,0.85,0.772,Null
147.97,120,147.9725355802332,0.85,1.15,0.781,Null
147.37,119,147.37046365830423,1.15,1.1,0.791,Null
146.8,118,146.7979612094879,1.1,1.05,0.801,Null
146.26,117,146.25747954208882,1.05,1,0.811,Null
145.75,117,145.75023404696918,1,1,0.822,Null
145.28,118,145.2766205290586,1,1,0.782,Null
144.84,117,144.83653699255717,1,1,0.793,Null
144.43,119,144.42962828868855,1,1.1,0.754,Null
144.06,118,144.0553286204553,1.1,1.05,0.765,Null
143.71,117,143.71289890652798,1.05,1,0.776,Null
143.4,116,143.40145950574748,1,0.95,0.788,Null
143.12,115,143.11974136578414,0.95,0.9,0.8,Null
142.87,120,142.86633721991493,0.9,1.15,0.712,Null
142.64,119,142.63988704088908,1.15,1.1,0.724,Null
142.44,118,142.43921071311647,1.1,1.05,0.737,Null
142.26,118,142.26339864075254,1.05,1.05,0.75,Null
142.11,119,142.1110435098879,1.05,1.05,0.714,Null
141.98,118,141.98053023654415,1.05,1.05,0.727,Null
141.87,120,141.87025260092025,1.05,1.15,0.691,Null
141.78,119,141.77863343819402,1.15,1.1,0.706,Null
141.7,118,141.70414009580634,1.1,1.05,0.72,Null
141.65,118,141.64529599037184,1.05,1.05,0.736,Null
141.6,119,141.60041495294496,1.05,1.05,0.701,Null
141.57,118,141.56782881981357,1.05,1.05,0.716,Null
141.55,120,141.5460533560163,1.05,1.15,0.682,Null
141.53,119,141.53376753483022,1.15,1.1,0.698,Null
141.53,118,141.52979526610557,1.1,1.05,0.715,Null
141.53,118,141.53308926637257,1.05,1.05,0.731,Null
141.54,119,141.5424430113724,1.05,1.05,0.698,Null
141.56,118,141.55669937677013,1.05,1.05,0.715,Null
141.57,120,141.57490180794164,1.05,1.15,0.683,Null
141.6,119,141.59626208526322,1.15,1.1,0.701,Null
141.62,118,141.62013291468352,1.1,1.05,0.718,Null
141.65,118,141.64598465187768,1.05,1.05,0.736,Null
141.67,119,141.67311155529583,1.05,1.05,0.704,Null
141.7,118,141.70083635971957,1.05,1.05,0.722,Null
141.73,120,141.72865871720725,1.05,1.15,0.69,Null
141.76,119,141.75622105857298,1.15,1.1,0.708,Null
141.78,118,141.78328000115067,1.1,1.05,0.725,Null
141.81,117,141.8096824857673,1.05,1,0.743,Null
141.84,117,141.83507161289293,1,1,0.761,Null
141.86,118,141.85909176834443,1,1,0.728,Null
141.88,117,141.88153789399433,1,1,0.746,Null
141.9,119,141.90245942545303,1,1.1,0.713,Null
141.92,118,141.92209049490262,1.1,1.05,0.73,Null
141.94,117,141.94079329595124,1.05,1,0.747,Null
141.96,117,141.95901254306665,1,1,0.764,Null
141.98,118,141.97696463614758,1,1,0.731,Null
141.99,117,141.9948310609096,1,1,0.747,Null
142.01,119,142.0128993877778,1,1.1,0.714,Null
142.03,118,142.03152440725464,1.1,1.05,0.73,Null
142.05,117,142.05109734571724,1.05,1,0.747,Null
142.07,117,142.07202182933216,1,1,0.763,Null
142.09,118,142.094420620345,1,1,0.73,Null
142.12,118,142.11834376625987,1,1.05,0.746,Null
142.14,117,142.14392162146268,1.05,1,0.762,Null
142.17,116,142.1713356060975,1,0.95,0.778,Null
142.2,116,142.2007951317343,0.95,0.95,0.793,Null
142.23,117,142.2323821191823,0.95,0.95,0.759,Null
142.27,119,142.26621712735044,0.95,1.1,0.724,Null
142.3,118,142.30257842929484,1.1,1.05,0.74,Null
142.34,117,142.34184546713843,1.05,1,0.756,Null
142.38,118,142.3844541485253,1,1,0.771,Null
142.43,118,142.43044885277575,1,1,0.737,Null
142.48,119,142.47972020521487,1,1.1,0.752,Null
142.53,118,142.5321823667791,1.1,1.05,0.768,Null
142.59,117,142.58776318173094,1.05,1,0.783,Null
142.65,117,142.64639664693226,1,1,0.798,Null
142.71,118,142.70774133914793,1,1,0.763,Null
142.77,118,142.77139880601467,1,1.05,0.778,Null
142.84,117,142.8370743977279,1.05,1,0.793,Null
142.9,117,142.9045531638141,1,1,0.808,Null
142.97,118,142.97368020667963,1,1,0.772,Null
