bg,eq_BG,CGM_glucose,running_temp,rate,IOB,unsafe_action_reason
78.94,106,78.94273284125451,0.35,0.35,-0.83,Null
78.94,105,78.94262710994715,0.35,0.25,-0.793,Null
78.94,105,78.94401696950598,0.25,0.25,-0.805,Null
78.95,106,78.94643679483495,0.25,0.35,-0.818,Null
78.95,104,78.94891249208844,0.35,0.15,-0.781,Null
78.95,105,78.95184593778345,0.15,0.25,-0.795,Null
78.96,105,78.95613929616829,0.25,0.25,-0.808,Null
78.96,106,78.96131272088869,0.25,0.35,-0.821,Null
78.97,107,78.96932849944511,0.35,0.45,-0.834,Null
78.98,107,78.98141397994766,0.45,0.45,-0.847,Null
79,105,78.99834198546543,0.45,0.25,-0.81,Null
79.02,106,79.01911221194554,0.25,0.35,-0.823,Null
79.04,107,79.04062389262465,0.35,0.45,-0.836,Null
79.06,107,79.05926729661132,0.45,0.45,-0.848,Null
79.07,106,79.0745880296866,0.45,0.35,-0.811,Null
79.09,106,79.0859831368719,0.35,0.35,-0.824,Null
79.09,104,79.09140564427271,0.35,0.15,-0.786,Null
79.09,105,79.08849653476223,0.15,0.25,-0.799,Null
79.08,106,79.07656374845715,0.25,0.35,-0.812,Null
79.06,106,79.05571923579524,0.35,0.35,-0.824,Null
79.03,104,79.02939843505276,0.35,0.15,-0.787,Null
79,105,79.00054880349354,0.15,0.25,-0.8,Null
78.97,106,78.97014819887343,0.25,0.35,-0.813,Null
78.94,106,78.93829992205495,0.35,0.35,-0.826,Null
78.91,104,78.90770888718983,0.35,0.15,-0.789,Null
78.88,105,78.8803396412691,0.15,0.25,-0.802,Null
78.86,106,78.85615729261269,0.25,0.35,-0.815,Null
78.83,106,78.83431819485654,0.35,0.35,-0.828,Null
78.82,104,78.81667846853414,0.35,0.15,-0.791,Null
78.8,105,78.80446694847703,0.15,0.25,-0.803,Null
78.8,106,78.79702358541708,0.25,0.35,-0.817,Null
78.79,106,78.79297828958663,0.35,0.35,-0.83,Null
78.79,104,78.79374567552223,0.35,0.15,-0.792,Null
78.8,105,78.80019106214124,0.15,0.25,-0.805,Null
78.81,106,78.8113580939505,0.25,0.35,-0.818,Null
78.83,106,78.82563630011926,0.35,0.35,-0.831,Null
78.84,105,78.8442482191883,0.35,0.25,-0.794,Null
78.87,105,78.8679093377586,0.25,0.25,-0.807,Null
78.9,106,78.89554768485085,0.25,0.35,-0.82,Null
78.93,106,78.92546516886839,0.35,0.35,-0.832,Null
78.96,105,78.95735118416601,0.35,0.25,-0.795,Null
78.99,105,78.99146438458789,0.25,0.25,-0.808,Null
79.03,106,79.02676936392217,0.25,0.35,-0.821,Null
79.06,107,79.06181403997057,0.35,0.45,-0.834,Null
79.1,107,79.0966092129774,0.45,0.45,-0.846,Null
79.13,106,79.13174496664466,0.45,0.35,-0.809,Null
79.17,106,79.16649539491407,0.35,0.35,-0.821,Null
79.2,104,79.19820911163686,0.35,0.15,-0.784,Null
79.22,105,79.22376948293834,0.15,0.25,-0.797,Null
79.24,106,79.24172810536983,0.25,0.35,-0.81,Null
