bg,eq_BG,CGM_glucose,running_temp,rate,IOB,unsafe_action_reason
145,84,125.86964921916967,0,0,1.751,row_37
145,87,126.08075598973386,0,0,1.684,row_37
145,90,126.28903925723024,0,0,1.617,row_37
145,93,126.49446309350768,0,0,1.55,row_37
145,96,126.69699742926527,0,0,1.481,row_37
145,99,126.89661768841383,0,0,1.415,row_37
145,84,127.09330443849987,0,0,1.749,row_37
145,87,127.28704305697926,0,0,1.682,row_37
145,90,127.47782341305692,0,0,1.615,row_37
145,93,127.66563956475127,0,0,1.548,row_37
145,96,127.85048947079694,0,0,1.48,row_37
145,99,128.032374716964,0,0,1.415,row_37
145,84,128.21130025634528,0,0,1.749,row_37
145,87,128.38727416314472,0,0,1.682,row_37
145,90,128.560307399486,0,0,1.615,row_37
145,93,128.73041359475388,0,0,1.548,row_37
145,96,128.89760883697735,0,0,1.48,row_37
145,99,129.06191147576405,0,0,1.415,row_37
145,84,129.22334193629928,0,0,1.749,row_37
145,87,129.38192254392965,0,0,1.682,row_37
145,90,129.53767735885899,0,0,1.615,row_37
145,93,129.69063202049463,0,0,1.548,row_37
145,96,129.84081360099384,0,0,1.48,row_37
145,99,129.98825046757202,0,0,1.415,row_37
145,84,130.13297215314785,0,0,1.749,row_37
145,87,130.27500923491465,0,0,1.682,row_37
145,90,130.41439322044073,0,0,1.615,row_37
145,93,130.55115644091674,0,0,1.548,row_37
145,96,130.68533195118187,0,0,1.482,row_37
145,99,130.81695343617588,0,0,1.415,row_37
145,84,130.9460551234781,0,0,1.749,row_37
145,87,131.07267170160873,0,0,1.682,row_37
145,90,131.19683824378208,0,0,1.615,row_37
145,93,131.318590136815,0,0,1.548,row_37
145,96,131.4379630149071,0,0,1.482,row_37
145,99,131.55499269802263,0,0,1.415,row_37
145,84,131.66971513461652,0,0,1.749,row_37
145,87,131.78216634845916,0,0,1.682,row_37
145,90,131.89238238932663,0,0,1.615,row_37
145,93,132.00039928733463,0,0,1.548,row_37
145,96,132.10625301070496,0,0,1.48,row_37
145,99,132.20997942676433,0,0,1.415,row_37
145,84,132.31161426598564,0,0,1.749,row_37
145,87,132.4111930888911,0,0,1.682,row_37
145,90,132.5087512556464,0,0,1.615,row_37
145,93,132.60432389818362,0,0,1.548,row_37
145,96,132.69794589470004,0,0,1.48,row_37
145,99,132.78965184638662,0,0,1.415,row_37
145,84,132.87947605624933,0,0,1.749,row_37
145,87,132.96745250989306,0,0,1.682,row_37
145,90,133.05361485814484,0,0,1.615,row_37
145,93,133.13799640140036,0,0,1.548,row_37
145,96,133.22063007558378,0,0,1.48,row_37
145,99,133.30154843961714,0,0,1.415,row_37
145,84,133.38078366430116,0,0,1.749,row_37
145,87,133.45836752251523,0,0,1.682,row_37
145,90,133.5343313806491,0,0,1.615,row_37
145,93,133.60870619118404,0,0,1.548,row_37
145,96,133.6815224863459,0,0,1.48,row_37
145,99,133.75281037275676,0,0,1.415,row_37
145,84,133.82259952701645,0,0,1.749,row_37
145,87,133.89091919214886,0,0,1.682,row_37
145,90,133.95779817485194,0,0,1.615,row_37
145,93,134.0232648434939,0,0,1.548,row_37
145,96,134.0873471268014,0,0,1.48,row_37
145,99,134.15007251318883,0,0,1.415,row_37
145,84,134.21146805068076,0,0,1.749,row_37
145,87,134.2715603473826,0,0,1.682,row_37
145,90,134.33037557245703,0,0,1.615,row_37
145,93,134.38793945756666,0,0,1.548,row_37
145,96,134.4442772987455,0,0,1.48,row_37
145,99,134.4994139586642,0,0,1.415,row_37
145,84,134.55337386925638,0,0,1.749,row_37
145,87,134.60618103467485,0,0,1.682,row_37
145,90,134.6578590345495,0,0,1.615,row_37
145,93,134.70843102751905,0,0,1.547,row_37
145,96,134.75791975501198,0,0,1.48,row_37
145,99,134.8063475452524,0,0,1.415,row_37
145,84,134.85373631746901,0,0,1.749,row_37
145,87,134.90010758628625,0,0,1.682,row_37
145,90,134.9454824662783,0,0,1.615,row_37
145,93,134.98988167666764,0,0,1.548,row_37
145,96,135.0333255461516,0,0,1.48,row_37
145,99,135.07583401784066,0,0,1.415,row_37
145,84,135.11742665429432,0,0,1.749,row_37
145,87,135.1581226426402,0,0,1.682,row_37
145,90,135.1979407997641,0,0,1.615,row_37
145,93,135.2368995775591,0,0,1.548,row_37
145,96,135.27501706822227,0,0,1.48,row_37
145,99,135.31231100958925,0,0,1.415,row_37
145,84,135.34879879049677,0,0,1.749,row_37
145,87,135.38449745616452,0,0,1.682,row_37
145,90,135.41942371358817,0,0,1.615,row_37
145,93,135.4535939369359,0,0,1.548,row_37
145,96,135.48702417294157,0,0,1.48,row_37
145,99,135.51973014628805,0,0,1.415,row_37
145,84,135.5517272649747,0,0,1.749,row_37
145,87,135.58303062566364,0,0,1.682,row_37
145,90,135.61365501899994,0,0,1.615,row_37
145,93,135.64361493490068,0,0,1.548,row_37
145,96,135.6729245678093,0,0,1.48,row_37
145,99,135.70159782191087,0,0,1.415,row_37
145,84,135.72964831630503,0,0,1.749,row_37
145,87,135.7570893901336,0,0,1.682,row_37
145,90,135.78393410765955,0,0,1.615,row_37
145,93,135.81019526329527,0,0,1.548,row_37
145,96,135.8358853865774,0,0,1.48,row_37
145,99,135.86101674708624,0,0,1.415,row_37
145,84,135.88560135930814,0,0,1.749,row_37
145,87,135.90965098743897,0,0,1.682,row_37
145,90,135.93317715012725,0,0,1.615,row_37
145,93,135.95619112515584,0,0,1.547,row_37
145,96,135.97870395406107,0,0,1.48,row_37
145,99,136.0007264466883,0,0,1.415,row_37
145,84,136.0222691856832,0,0,1.749,row_37
145,87,136.0433425309182,0,0,1.682,row_37
145,90,136.06395662385356,0,0,1.615,row_37
145,93,136.08412139183258,0,0,1.547,row_37
145,96,136.10384655231098,0,0,1.48,row_37
145,99,136.12314161701985,0,0,1.415,row_37
145,84,136.14201589606256,0,0,1.749,row_37
145,87,136.16047850194533,0,0,1.682,row_37
145,90,136.17853835354174,0,0,1.615,row_37
145,93,136.19620417999118,0,0,1.548,row_37
145,96,136.21348452453188,0,0,1.48,row_37
145,99,136.23038774826813,0,0,1.415,row_37
145,84,136.2469220338729,0,0,1.749,row_37
145,87,136.26309538922553,0,0,1.682,row_37
145,90,136.27891565098554,0,0,1.615,row_37
145,93,136.29439048810264,0,0,1.548,row_37
145,96,136.30952740526376,0,0,1.48,row_37
145,99,136.3243337462776,0,0,1.415,row_37
145,84,136.33881669739728,0,0,1.749,row_37
145,87,136.35298329058182,0,0,1.682,row_37
145,90,136.36684040669704,0,0,1.615,row_37
145,93,136.38039477865667,0,0,1.548,row_37
145,96,136.39365299450438,0,0,1.48,row_37
145,99,136.40662150043735,0,0,1.415,row_37
145,84,136.4193066037722,0,0,1.749,row_37
145,87,136.43171447585425,0,0,1.682,row_37
145,90,136.44385115491045,0,0,1.615,row_37
145,93,136.45572254884718,0,0,1.547,row_37
145,96,136.4673344379936,0,0,1.48,row_37
145,99,136.47869247779118,0,0,1.415,row_37
145,84,136.48980220143036,0,0,1.749,row_37
145,87,136.50066902243532,0,0,1.682,row_37
145,90,136.51129823719722,0,0,1.615,row_37
145,93,136.52169502745724,0,0,1.547,row_37
145,96,136.5318644627399,0,0,1.48,row_37
145,99,136.54181150273746,0,0,1.415,row_37
145,84,136.5515409996466,0,0,1.749,row_37
145,87,136.5610577004575,0,0,1.682,row_37
145,90,136.57036624919698,0,0,1.615,row_37
145,93,136.57947118912566,0,0,1.548,row_37
145,96,136.58837696489056,0,0,1.48,row_37
145,99,136.59708792463363,0,0,1.415,row_37
145,84,136.605608322057,0,0,1.749,row_37
145,87,136.61394231844594,0,0,1.682,row_37
145,90,136.62209398464984,0,0,1.615,row_37
145,93,136.63006730302266,0,0,1.548,row_37
145,96,136.63786616932293,0,0,1.48,row_37
145,99,136.64549439457448,0,0,1.415,row_37
145,84,136.65295570688835,0,0,1.749,row_37
145,87,136.66025375324693,0,0,1.682,row_37
145,90,136.66739210125067,0,0,1.615,row_37
145,93,136.67437424082846,0,0,1.547,row_37
145,96,136.681203585912,0,0,1.48,row_37
145,99,136.68788347607511,0,0,1.415,row_37
145,84,136.69441717813874,0,0,1.749,row_37
145,87,136.7008078877419,0,0,1.682,row_37
145,90,136.7070587308796,0,0,1.615,row_37
145,93,136.71317276540853,0,0,1.547,row_37
145,96,136.7191529825205,0,0,1.48,row_37
145,99,136.72500230818508,0,0,1.415,row_37
145,84,136.73072360456132,0,0,1.749,row_37
145,87,136.7363196713798,0,0,1.682,row_37
145,90,136.74179324729508,0,0,1.615,row_37
145,93,136.74714701120953,0,0,1.547,row_37
145,96,136.75238358356896,0,0,1.48,row_37
145,99,136.75750552763049,0,0,1.415,row_37
145,84,136.76251535070344,0,0,1.749,row_37
